CPU count: 12
Comparison for integrate(math.cos, 0, math.pi/2)
n_jobs  ThreadPool      ProcessPool
1       0.7439  0.7586
2       0.8782  0.3905
3       0.8124  0.2895
4       0.8498  0.4398
5       0.8528  0.3975
6       0.9236  0.3485
7       0.9718  0.3749
8       0.8389  0.3526
9       0.8976  0.3453
10      0.8471  0.3515
11      0.9072  0.3504
12      0.8411  0.3788
13      0.9589  0.3913
14      0.8349  0.3552
15      0.8278  0.3709
16      0.8614  0.3593
17      0.8306  0.3486
18      0.8224  0.3663
19      0.8878  0.3752
20      0.8489  0.3670
21      0.8596  0.3755
22      0.9080  0.3954
23      0.8319  0.3709
24      0.8628  0.3679
